id,imps
26356,150
26359,150
26358,30
51087,150
51086,100
51085,150
51084,150
51083,150
51082,150
51081,100
51080,150
71468,150
51089,100
51088,100
80780,100
57702,150
57703,60
57700,60
57701,60
57706,150
57707,60
57704,150
57705,60
57708,60
57709,60
52069,150
52064,150
52065,150
52066,150
52067,150
52060,150
52061,150
52062,60
52063,150
60119,30
60118,30
60111,100
60110,100
60113,150
60112,60
60115,60
60114,150
60117,30
60116,60
87204,150
87205,100
09149,100
09148,150
09143,150
09142,150
09141,150
09140,150
09147,150
09146,150
09145,30
41263,150
97225,150
97224,30
97227,30
36182,150
97221,30
97220,60
97223,60
97222,30
97229,30
97228,30
37021,100
37020,60
04-11,150
37022,60
37025,30
37024,100
37027,60
37026,60
37029,150
37028,150
88399,150
14347,150
88398,60
78194,60
78196,150
14346,150
78192,150
78193,150
95582,7
14345,150
03152,150
03153,150
03150,150
03151,100
03156,150
03157,150
03154,150
03155,150
67231,100
67230,30
03158,150
03159,100
67235,150
67234,100
67237,150
67236,30
30271,100
30270,60
30273,150
30272,150
30275,150
30274,30
30277,7
30276,60
30279,60
30278,100
76042,60
76043,30
76044,100
76045,100
76046,100
76047,100
80218,150
72291,150
72290,60
72293,150
72292,150
72295,100
72294,150
72297,150
72296,150
72299,30
72298,150
79249,60
91318,30
80219,150
35319,30
35318,60
90034,60
35311,150
35310,30
35312,30
35315,30
35314,60
35317,100
35316,150
07273,100
07272,7
23181,150
23180,150
23187,150
07276,150
07275,150
07274,150
07279,150
07278,150
78082,7
90039,150
95633,7
08-04,150
95637,30
08-05,150
50074,150
78084,60
78327,150
78325,60
88474,100
78324,7
05129,150
05128,100
55423,150
05124,7
05127,150
05126,150
05121,150
05120,150
05123,150
05122,150
88477,150
78321,60
88470,150
78320,60
88471,150
38408,30
38409,150
88472,150
80213,60
38402,60
38403,150
38400,30
38401,7
38406,150
38407,150
38404,30
38405,150
70079,150
70078,150
70072,150
70071,150
70070,150
70077,150
70076,150
70075,150
70074,150
71388,150
