id,postcode,name,density,x,y
86-08,,Loudun,21,,
86-09,,Lusignan,27,,
86-10,,Lussac-les-Châteaux,15,,
86-11,,Migné-Auxances,29,,
86-12,,Montmorillon,14,,
86-18,,Vivonne,26,,
86-19,,Vouneuil-sous-Biard,32,,
86001,86430,Adriers,11,0.79,46.26
86002,86110,Amberre,35,0.15,46.76
86003,86700,Anché,22,0.27,46.35
86004,86260,Angles-sur-l'Anglin,26,0.90,46.70
86005,86330,Angliers,28,0.10,46.94
86006,86310,Antigny,13,0.84,46.54
86007,86100,Antran,49,0.53,46.88
86008,86200,Arçay,29,0.00,46.95
86009,86210,Archigny,16,0.68,46.67
86010,86340,Aslonnes,45,0.33,46.45
86011,86430,Asnières-sur-Blour,5,0.78,46.15
86012,86250,Asnois,8,0.41,46.10
86013,86330,Aulnay,13,0.09,46.91
86014,86530,Availles-en-Châtellerault,108,0.57,46.76
86015,86460,Availles-Limouzine,22,0.65,46.13
86016,86170,Avanton,173,0.30,46.66
86017,86190,Ayron,41,0.04,46.64
86018,86200,Basses,33,0.12,47.04
86019,86490,Beaumont,88,0.44,46.74
86020,86210,Bellefonds,29,0.61,46.65
86021,86470,Benassay,21,0.03,46.55
86022,86120,Berrie,16,-0.07,47.06
86023,86420,Berthegon,27,0.27,46.90
86024,86190,Béruges,41,0.20,46.56
86025,86310,Béthines,13,0.98,46.55
86026,86120,Beuxes,50,0.17,47.09
86027,86580,Biard,228,0.30,46.59
86028,86800,Bignoux,72,0.47,46.60
86029,86400,Blanzay,23,0.25,46.21
86030,86170,Blaslay,29,0.23,46.73
86031,86300,Bonnes,51,0.60,46.61
86032,86210,Bonneuil-Matours,49,0.57,46.68
86034,86410,Bouresse,15,0.58,46.36
86035,86390,Bourg-Archambault,8,1.00,46.37
86036,86120,Bournand,23,0.07,47.07
86037,86290,Brigueil-le-Chantre,9,1.09,46.39
86038,86160,Brion,15,0.47,46.36
86039,86510,Brux,20,0.19,46.25
86040,86310,La Bussière,10,0.82,46.63
86041,86180,Buxerolles,1098,0.37,46.61
86042,37160,Buxeuil,80,0.66,46.97
86043,86700,Ceaux-en-Couhé,32,0.24,46.32
86044,86200,Ceaux-en-Loudun,21,0.23,47.03
86045,86600,Celle-Lévescault,31,0.17,46.40
86046,86530,Cenon-sur-Vienne,213,0.53,46.76
86047,86140,Cernay,137,0.30,46.84
86048,86380,Chabournay,168,0.27,46.72
86049,86200,Chalais,35,0.10,46.97
86050,86190,Chalandray,31,-0.01,46.65
86051,86510,Champagné-le-Sec,28,0.19,46.19
86052,86160,Champagné-Saint-Hilaire,21,0.32,46.32
86053,86170,Champigny-le-Sec,45,0.15,46.72
86054,86400,Champniers,18,0.33,46.21
86055,86250,La Chapelle-Bâton,12,0.41,46.19
86056,86470,La Chapelle-Montreuil,28,0.14,46.52
86058,86210,La Chapelle-Moulière,38,0.54,46.65
86059,86300,Chapelle-Viviers,35,0.73,46.47
86060,86170,Charrais,71,0.20,46.70
86061,86250,Charroux,27,0.42,46.14
86062,86360,Chasseneuil-du-Poitou,260,0.36,46.65
86063,86250,Chatain,12,0.44,46.07
86064,86350,Château-Garnier,18,0.44,46.26
86065,86370,Château-Larcher,64,0.30,46.42
86066,86100,Châtellerault,607,0.55,46.82
86067,86700,Châtillon,41,0.19,46.32
86068,86510,Chaunay,31,0.16,46.21
86069,86330,La Chaussée,14,0.11,46.89
86070,86300,Chauvigny,73,0.68,46.55
86071,86380,Cheneché,68,0.27,46.74
86072,86450,Chenevelles,17,0.67,46.72
86073,86170,Cherves,22,0.03,46.69
86074,86190,Chiré-en-Montreuil,41,0.11,46.63
86075,86110,Chouppes,24,0.17,46.81
86076,86170,Cissé,155,0.24,46.65
86077,86320,Civaux,41,0.67,46.44
86078,86400,Civray,333,0.30,46.14
86079,86200,La Roche-Rigault,21,0.17,46.97
86080,86600,Cloué,40,0.16,46.45
86081,86490,Colombiers,73,0.44,46.78
86082,86700,Couhé,199,0.18,46.30
86083,86600,Coulombiers,39,0.17,46.49
86084,86290,Coulonges,15,1.18,46.41
86085,86110,Coussay,12,0.20,46.84
86086,86270,Coussay-les-Bois,21,0.73,46.81
86087,86110,Craon,9,0.01,46.77
86088,86240,Croutelle,561,0.29,46.54
86089,86110,Cuhon,25,0.11,46.76
86090,86120,Curçay-sur-Dive,14,-0.06,47.01
86091,86600,Curzay-sur-Vonne,27,0.04,46.49
86092,86220,Dangé-Saint-Romain,88,0.61,46.93
86093,86420,Dercé,13,0.21,46.94
86094,86410,Dienné,32,0.54,46.44
86095,86130,Dissay,133,0.44,46.70
86096,86140,Doussay,24,0.27,46.84
86097,86160,La Ferrière-Airoux,13,0.41,46.31
86098,86300,Fleix,17,0.75,46.56
86099,86340,Fleuré,62,0.52,46.48
86100,86240,Fontaine-le-Comte,205,0.25,46.53
86102,86190,Frozes,61,0.13,46.66
86103,86160,Gençay,366,0.41,46.37
86104,86250,Genouillé,18,0.34,46.10
86105,86340,Gizay,19,0.42,46.44
86106,86200,Glénouze,12,-0.00,47.01
86107,86320,Gouex,26,0.67,46.37
86108,86330,La Grimaudière,20,0.03,46.80
86109,86420,Guesnes,18,0.15,46.91
86110,86310,Haims,7,0.93,46.51
86111,86220,Ingrandes,50,0.59,46.87
86112,86150,L'Isle-Jourdain,199,0.70,46.24
86113,86240,Iteuil,130,0.29,46.49
86114,86800,Jardres,58,0.57,46.57
86115,86130,Jaunay-Clan,215,0.36,46.69
86116,86600,Jazeneuil,27,0.07,46.47
86117,86500,Jouhet,20,0.87,46.49
86118,86290,Journet,6,0.97,46.47
86119,86350,Joussé,44,0.46,46.22
86120,86390,Lathus-Saint-Rémy,12,0.94,46.32
86121,86190,Latillé,60,0.06,46.61
