id,impsp
62868,284
62867,1480
62866,743
62865,1359
62864,119
62863,6006
62862,362
62861,1542
62860,276
76306,535
76305,7588
58189,852
58188,12
58181,12
58180,36
58183,89
58182,27
58185,36
58184,74
58187,38
58186,74
45060,210
45061,4043
45062,378
45063,16
45064,112
45065,2400
45066,316
48095,1473
45068,4043
45069,382
48098,13
48099,305
24238,450
24239,216
54374,1169
54375,5626
54372,258
54373,5652
54370,55
54371,336
24230,212
24231,48
24232,35
24233,651
24234,423
24235,81
54378,171
54379,228
62243,71
62242,127
62241,2611
62240,588
62247,362
62246,362
62245,1778
62244,836
79009,525
79008,169
62249,1753
62248,169
63061,678
34208,2057
34209,875
59580,691
59581,307
59586,1981
59587,691
59584,1203
59585,3767
34200,959
34201,92
34202,1776
34203,132
34204,2057
34205,1088
34206,1297
34207,165
35159,993
35158,1145
79058,1507
35153,236
35152,1819
35151,504
35150,2210
35157,2210
35156,1582
35155,504
35154,249
79056,190
07079,23
07078,1446
72001,1873
07075,2
07074,2702
07077,531
07076,903
07071,27
07070,1692
07073,191
07072,2702
79055,129
91667,5769
91666,8726
91665,12816
91662,1096
91661,8726
79053,53
79050,708
79051,298
77238,296
77239,130
51472,2732
51473,71
51470,187
51471,795
51476,84
51477,827
51474,1384
51475,38
51478,9306
51479,474
59326,616
59327,1189
59324,3142
59325,921
59322,442
59323,786
59320,1503
59321,3838
59328,21835
59329,1333
77230,32
77231,1021
73098,2422
73099,506
73090,35
73091,390
73092,1055
73093,627
73094,72
73095,506
73096,4289
73097,2191
32310,41
32311,231
32312,244
32313,36
32314,15
32315,13
32316,51
32317,79
32318,699
32319,170
78398,1430
51298,601
51299,827
06038,609
